date,time,direction,entry_price,stop_loss,take_profit,exit_price,pnl,result,balance
2026-01-02,09:05,short,25520.5,25520.5,25480.5,25520.5,-11.25,BREAKEVEN,9988.75
2026-01-02,09:30,short,25503.25,25523.25,25463.25,25523.25,-161.07,LOSS,9827.68
2026-01-02,10:15,short,25400.25,25400.25,25360.25,25360.25,283.77,WIN,10111.46
2026-01-05,09:40,long,25436.4,25416.4,25476.4,25416.4,-163.05,LOSS,9948.41
2026-01-05,09:50,long,25440.9,25420.9,25480.9,25420.9,-160.42,LOSS,9787.99
2026-01-05,10:00,long,25467.9,25467.9,25507.9,25507.9,282.63,WIN,10070.62
2026-01-05,12:10,long,25505.9,25485.9,25545.9,25485.9,-162.39,LOSS,9908.23
2026-01-06,09:30,long,25480.65,25460.65,25520.65,25460.65,-159.77,LOSS,9748.46
2026-01-06,09:45,long,25541.4,25541.4,25581.4,25581.4,281.49,WIN,10029.95
2026-01-07,09:15,long,25613.75,25613.75,25653.75,25653.75,289.61,WIN,10319.56
2026-01-07,09:35,long,25668.87,25668.87,25708.87,25708.87,297.98,WIN,10617.54
2026-01-07,10:40,long,25686.1,25686.1,25726.1,25726.1,306.58,WIN,10924.12
2026-01-08,09:05,long,25640.0,25620.0,25680.0,25620.0,-176.15,LOSS,10747.97
2026-01-08,10:25,short,25540.05,25540.05,25500.05,25500.05,310.35,WIN,11058.32
2026-01-08,10:45,short,25497.55,25497.55,25457.55,25457.55,319.31,WIN,11377.62
2026-01-08,11:00,short,25518.3,25518.3,25478.3,25478.3,328.53,WIN,11706.15
2026-01-08,11:25,short,25467.55,25467.55,25427.55,25427.55,338.02,WIN,12044.17
2026-01-08,11:50,short,25486.05,25506.05,25446.05,25506.05,-194.21,LOSS,11849.96
2026-01-08,12:00,short,25493.05,25513.05,25453.05,25513.05,-191.08,LOSS,11658.88
2026-01-08,12:20,short,25497.67,25497.67,25457.67,25497.67,-13.12,BREAKEVEN,11645.76
2026-01-09,10:50,long,25618.55,25618.55,25658.55,25658.55,336.27,WIN,11982.03
2026-01-12,09:05,long,25598.75,25578.75,25638.75,25578.75,-193.21,LOSS,11788.82
2026-01-12,09:35,long,25732.0,25712.0,25772.0,25712.0,-190.09,LOSS,11598.73
2026-01-12,12:45,long,25818.5,25798.5,25858.5,25817.37,-22.88,FORCED_CLOSE,11575.85
2026-01-13,09:30,long,25834.9,25834.9,25874.9,25834.9,-13.02,BREAKEVEN,11562.83
2026-01-13,09:45,long,25824.65,25804.65,25864.65,25804.65,-186.45,LOSS,11376.37
2026-01-13,11:00,short,25741.9,25761.9,25701.9,25761.9,-183.44,LOSS,11192.93
2026-01-13,12:20,long,25834.9,25814.9,25874.9,25814.9,-180.49,LOSS,11012.44
2026-01-13,12:30,long,25822.9,25802.9,25862.9,25802.9,-177.58,LOSS,10834.87
2026-01-14,09:05,short,25605.55,25625.55,25565.55,25625.55,-174.71,LOSS,10660.16
2026-01-14,09:35,short,25553.05,25553.05,25513.05,25513.05,307.81,WIN,10967.97
2026-01-14,10:20,short,25518.3,25518.3,25478.3,25478.3,316.7,WIN,11284.67
2026-01-14,11:30,short,25419.05,25419.05,25379.05,25379.05,325.84,WIN,11610.51
2026-01-14,12:50,short,25300.05,25320.05,25260.05,25305.92,-64.18,FORCED_CLOSE,11546.34
2026-01-15,09:40,long,25782.35,25762.35,25822.35,25762.35,-186.18,LOSS,11360.15
2026-01-15,09:50,long,25761.9,25741.9,25801.9,25741.9,-183.18,LOSS,11176.97
2026-01-15,10:35,long,25763.0,25743.0,25803.0,25743.0,-180.23,LOSS,10996.74
2026-01-15,11:40,long,25773.0,25773.0,25813.0,25773.0,-12.37,BREAKEVEN,10984.37
2026-01-15,12:15,long,25765.0,25745.0,25805.0,25745.0,-177.12,LOSS,10807.25
2026-01-16,09:30,long,25725.25,25705.25,25765.25,25705.25,-174.27,LOSS,10632.98
2026-01-16,12:10,short,25569.75,25569.75,25529.75,25569.75,-11.96,BREAKEVEN,10621.02
2026-01-16,12:40,short,25561.0,25561.0,25521.0,25521.0,306.68,WIN,10927.7
2026-01-19,09:20,short,25156.85,25156.85,25116.85,25116.85,315.54,WIN,11243.24
2026-01-19,10:55,long,25192.6,25192.6,25232.6,25232.6,324.65,WIN,11567.89
2026-01-19,11:30,long,25214.6,25214.6,25254.6,25254.6,334.02,WIN,11901.91
2026-01-20,09:35,long,25168.35,25148.35,25208.35,25148.35,-191.92,LOSS,11709.99
2026-01-20,09:45,long,25165.35,25165.35,25205.35,25205.35,338.13,WIN,12048.12
2026-01-20,10:10,long,25151.85,25131.85,25191.85,25131.85,-194.28,LOSS,11853.84
2026-01-20,10:20,long,25190.85,25190.85,25230.85,25230.85,342.28,WIN,12196.12
2026-01-20,11:00,long,25245.1,25245.1,25285.1,25285.1,352.16,WIN,12548.28
2026-01-20,11:30,long,25267.1,25267.1,25307.1,25267.1,-14.12,BREAKEVEN,12534.17
2026-01-20,11:45,long,25236.1,25216.1,25276.1,25216.1,-202.11,LOSS,12332.05
2026-01-20,11:55,long,25266.35,25246.35,25306.35,25246.35,-198.85,LOSS,12133.2
2026-01-21,09:45,long,25107.75,25107.75,25147.75,25147.75,350.35,WIN,12483.54
2026-01-22,10:50,short,25489.45,25509.45,25449.45,25509.45,-201.3,LOSS,12282.25
2026-01-22,12:05,long,25554.7,25534.7,25594.7,25534.7,-198.05,LOSS,12084.2
2026-01-22,12:20,long,25548.82,25548.82,25588.82,25588.82,348.93,WIN,12433.13
2026-01-23,09:30,short,25468.0,25488.0,25428.0,25488.0,-200.48,LOSS,12232.64
2026-01-23,11:35,long,25690.75,25670.75,25730.75,25670.75,-197.25,LOSS,12035.39
2026-01-23,12:05,long,25657.5,25657.5,25697.5,25657.5,-13.54,BREAKEVEN,12021.85
2026-01-23,12:25,long,25672.75,25652.75,25712.75,25652.75,-193.85,LOSS,11828.0
2026-01-26,09:35,long,25677.0,25657.0,25717.0,25657.0,-190.73,LOSS,11637.27
2026-01-27,09:05,short,25882.25,25882.25,25842.25,25842.25,336.03,WIN,11973.3
2026-01-27,09:35,short,25814.25,25834.25,25774.25,25834.25,-193.07,LOSS,11780.23
2026-01-27,12:25,long,25969.25,25949.25,26009.25,25949.25,-189.96,LOSS,11590.27
2026-01-28,09:35,short,26131.15,26151.15,26091.15,26151.15,-186.89,LOSS,11403.38
2026-01-28,09:45,short,26136.65,26156.65,26096.65,26156.65,-183.88,LOSS,11219.5
2026-01-28,09:55,short,26140.15,26140.15,26100.15,26100.15,323.96,WIN,11543.46
2026-01-28,12:25,short,26013.02,26033.02,25973.02,26033.02,-186.14,LOSS,11357.32
2026-01-28,12:55,short,26027.15,26047.15,25987.15,26027.15,-12.78,FORCED_CLOSE,11344.55
2026-01-29,09:00,short,26045.5,26045.5,26005.5,26045.5,-12.76,BREAKEVEN,11331.79
2026-01-29,09:35,short,25917.0,25917.0,25877.0,25877.0,327.21,WIN,11658.99
2026-01-29,11:45,short,25611.75,25611.75,25571.75,25611.75,-13.12,BREAKEVEN,11645.87
2026-01-30,09:35,long,25812.45,25792.45,25852.45,25792.45,-187.79,LOSS,11458.08
2026-01-30,09:50,long,25768.8,25748.8,25808.8,25748.8,-184.76,LOSS,11273.32
2026-01-30,10:05,long,25781.7,25761.7,25821.7,25761.7,-181.78,LOSS,11091.54
2026-01-30,11:45,short,25690.95,25690.95,25650.95,25650.95,320.27,WIN,11411.81
2026-01-30,12:30,short,25632.7,25652.7,25592.7,25652.7,-184.02,LOSS,11227.79
2026-01-30,12:50,short,25604.45,25624.45,25564.45,25624.45,-181.05,LOSS,11046.75
2026-02-04,09:30,short,25195.6,25215.6,25155.6,25215.6,-178.13,LOSS,10868.62
2026-02-04,09:40,short,25239.7,25259.7,25199.7,25259.7,-175.26,LOSS,10693.36
2026-02-04,09:50,short,25211.35,25211.35,25171.35,25171.35,308.77,WIN,11002.13
2026-02-04,10:30,short,25084.5,25104.5,25044.5,25104.5,-177.41,LOSS,10824.72
2026-02-04,10:45,short,25073.35,25093.35,25033.35,25093.35,-174.55,LOSS,10650.17
2026-02-05,09:05,short,24705.05,24705.05,24665.05,24665.05,307.52,WIN,10957.7
2026-02-06,09:05,long,24721.15,24701.15,24761.15,24701.15,-176.69,LOSS,10781.0
2026-02-06,09:35,long,24827.65,24807.65,24867.65,24807.65,-173.84,LOSS,10607.16
2026-02-06,10:15,long,24765.9,24745.9,24805.9,24745.9,-171.04,LOSS,10436.12
2026-02-06,10:25,long,24820.4,24800.4,24860.4,24800.4,-168.28,LOSS,10267.84
2026-02-06,10:55,long,24811.9,24811.9,24851.9,24851.9,296.48,WIN,10564.32
2026-02-09,09:55,long,25034.5,25034.5,25074.5,25074.5,305.04,WIN,10869.37
2026-02-09,10:05,long,25119.75,25099.75,25159.75,25099.75,-175.27,LOSS,10694.1
2026-02-10,10:15,long,25327.1,25307.1,25367.1,25307.1,-172.44,LOSS,10521.65
2026-02-10,10:30,long,25326.6,25306.6,25366.6,25306.6,-169.66,LOSS,10351.99
2026-02-10,10:50,long,25309.1,25289.1,25349.1,25289.1,-166.93,LOSS,10185.07
2026-02-10,11:00,long,25308.6,25288.6,25348.6,25288.6,-164.23,LOSS,10020.83
2026-02-10,11:15,long,25304.1,25284.1,25344.1,25284.1,-161.59,LOSS,9859.25
2026-02-10,11:50,short,25259.1,25259.1,25219.1,25259.1,-11.09,BREAKEVEN,9848.16
2026-02-11,09:40,long,25312.1,25292.1,25352.1,25292.1,-158.8,LOSS,9689.35
2026-02-11,11:00,short,25132.02,25132.02,25092.02,25132.02,-10.9,BREAKEVEN,9678.45
2026-02-11,11:25,short,25115.9,25135.9,25075.9,25135.9,-156.07,LOSS,9522.39
2026-02-11,11:45,short,25126.27,25126.27,25086.27,25086.27,274.96,WIN,9797.35
2026-02-12,09:20,long,25300.65,25280.65,25340.65,25280.65,-157.98,LOSS,9639.37
2026-02-12,12:40,short,24829.15,24829.15,24789.15,24829.15,-10.84,BREAKEVEN,9628.52
2026-02-13,09:10,long,24675.5,24655.5,24715.5,24655.5,-155.26,LOSS,9473.26
2026-02-13,09:25,long,24676.5,24656.5,24716.5,24656.5,-152.76,LOSS,9320.5
2026-02-13,09:50,long,24666.75,24646.75,24706.75,24646.75,-150.29,LOSS,9170.21
2026-02-13,10:05,long,24738.25,24718.25,24778.25,24718.25,-147.87,LOSS,9022.34
2026-02-13,10:20,long,24711.5,24711.5,24751.5,24751.5,260.52,WIN,9282.86
2026-02-13,10:50,long,24752.9,24732.9,24792.9,24732.9,-149.69,LOSS,9133.18
2026-02-13,11:25,long,24787.15,24767.15,24827.15,24767.15,-147.27,LOSS,8985.9
2026-02-16,10:10,short,24696.9,24696.9,24656.9,24656.9,259.47,WIN,9245.37
2026-02-16,11:15,short,24646.25,24666.25,24606.25,24666.25,-149.08,LOSS,9096.29
2026-02-16,11:35,short,24611.65,24631.65,24571.65,24631.65,-146.68,LOSS,8949.61
2026-02-16,11:50,short,24661.5,24681.5,24621.5,24681.5,-144.31,LOSS,8805.3
2026-02-17,09:35,long,24739.3,24719.3,24779.3,24719.3,-141.99,LOSS,8663.31
2026-02-17,10:20,short,24484.3,24484.3,24444.3,24444.3,250.15,WIN,8913.47
2026-02-17,12:15,long,24651.05,24631.05,24691.05,24631.05,-143.73,LOSS,8769.74
2026-02-17,12:25,long,24696.05,24676.05,24736.05,24676.05,-141.41,LOSS,8628.33
2026-02-17,12:35,long,24660.3,24640.3,24700.3,24640.3,-139.13,LOSS,8489.19
2026-02-18,09:45,short,24740.65,24760.65,24700.65,24760.65,-136.89,LOSS,8352.31
2026-02-18,12:00,long,25037.05,25037.05,25077.05,25037.05,-9.4,BREAKEVEN,8342.91
2026-02-18,12:35,long,25028.8,25028.8,25068.8,25039.55,57.88,FORCED_CLOSE,8400.79
2026-02-19,09:05,short,24770.9,24790.9,24730.9,24790.9,-135.46,LOSS,8265.33
2026-02-19,09:25,short,24771.4,24791.4,24731.4,24791.4,-133.28,LOSS,8132.05
2026-02-19,09:35,short,24750.7,24770.7,24710.7,24770.7,-131.13,LOSS,8000.92
2026-02-19,09:45,short,24763.65,24783.65,24723.65,24783.65,-129.01,LOSS,7871.9
2026-02-19,10:35,long,24858.15,24838.15,24898.15,24838.15,-126.93,LOSS,7744.97
2026-02-19,10:55,long,24862.15,24842.15,24902.15,24842.15,-124.89,LOSS,7620.08
2026-02-19,11:05,long,24832.65,24812.65,24872.65,24812.65,-122.87,LOSS,7497.21
2026-02-19,11:15,long,24880.4,24860.4,24920.4,24860.4,-120.89,LOSS,7376.31
2026-02-19,11:30,long,24854.4,24834.4,24894.4,24834.4,-118.94,LOSS,7257.37
2026-02-19,12:25,short,24797.65,24797.65,24757.65,24797.65,-8.16,BREAKEVEN,7249.21
2026-02-20,10:20,long,24945.0,24925.0,24985.0,24925.0,-116.89,LOSS,7132.31
2026-02-20,11:30,long,24977.65,24957.65,25017.65,24957.65,-115.01,LOSS,7017.31
2026-02-23,09:15,long,24891.9,24891.9,24931.9,24931.9,202.62,WIN,7219.93
2026-02-23,10:05,short,24809.4,24829.4,24769.4,24829.4,-116.42,LOSS,7103.51
2026-02-23,10:25,short,24824.65,24844.65,24784.65,24844.65,-114.54,LOSS,6988.96
2026-02-24,10:05,long,24860.9,24840.9,24900.9,24840.9,-112.7,LOSS,6876.27
